# Phase 1: client catalog items that server code or migrations already reference.
# Source: analysis of D:\Godswar-Reborn-main vs D:\Godswar Origin (Localization/en_us/Settings/Sys/ItemBaseAttribute.xml).
# Format: <itemId>  # <display name>

4695  # 随机任务卷轴
4700  # 随机任务卷轴
4704  # 随机任务卷轴
4708  # 随机任务卷轴
4710  # 随机任务卷轴
4712  # 随机任务卷轴
4716  # 随机任务卷轴
4720  # 随机任务卷轴
4721  # 随机任务卷轴
4730  # 随机任务卷轴
4731  # 随机任务卷轴
4732  # 随机任务卷轴
4733  # 随机任务卷轴
4734  # 随机任务卷轴
4735  # 随机任务卷轴
4740  # 随机任务卷轴
4741  # 随机任务卷轴
4742  # 随机任务卷轴
4743  # 随机任务卷轴
4744  # 随机任务卷轴
4745  # 随机任务卷轴
4746  # 随机任务卷轴
4747  # 随机任务卷轴
4748  # 随机任务卷轴
4750  # 随机任务卷轴
4751  # 随机任务卷轴
4752  # 随机任务卷轴
4753  # 随机任务卷轴
4754  # 随机任务卷轴
4755  # 随机任务卷轴
4756  # 随机任务卷轴
4757  # 随机任务卷轴
4758  # 随机任务卷轴
4759  # 随机任务卷轴
4760  # 随机任务卷轴
4761  # 随机任务卷轴
4762  # 随机任务卷轴
4763  # 随机任务卷轴
4764  # 随机任务卷轴
4765  # 随机任务卷轴
4798  # 雅典娜的神谕［七］
4799  # 雅典娜的神谕［八］
4800  # 雅典娜的神谕［九］
4801  # 雅典娜的神谕［十］
4802  # 雅典娜的神谕［十一］
4803  # 阿瑞斯的神谕［一］
4804  # 阿瑞斯的神谕［二］
4805  # 阿瑞斯的神谕［三］
4806  # 阿瑞斯的神谕［四］
4807  # 阿瑞斯的神谕［五］
4808  # 阿瑞斯的神谕［六］
4809  # 阿瑞斯的神谕［七］
4810  # 阿瑞斯的神谕［八］
4811  # 阿瑞斯的神谕［九］
4812  # 阿瑞斯的神谕［十］
4813  # 阿瑞斯的神谕［十一］
4815  # 神秘的东方卷轴[九]
4820  # 金色通缉令任务卷
4821  # 金色通缉令任务卷
4822  # 金色通缉令任务卷
4823  # 金色通缉令任务卷
4824  # 金色通缉令任务卷
4825  # 金色通缉令任务卷
4826  # 金色通缉令任务卷
4850  # 任务卷轴
4851  # 任务卷轴
4852  # 西西里岛的神秘封印四
4853  # 西西里岛的神秘封印四
4854  # 底比斯悬赏布告1
4855  # 底比斯悬赏布告2
4861  # 斯巴达人的神秘羊皮卷[十二]
4866  # 雅典悬赏布告2
6200  # 坐骑令牌-希腊战马
6204  # 坐骑令牌-非洲狂狮
6208  # 坐骑令牌-飞天神鸟
6212  # 坐骑令牌-独角兽
6216  # 坐骑令牌-龙
6218  # 坐骑令牌-凤凰
6220  # 坐骑令牌-白狐
7000  # 鹿角
7001  # 鹿角
7002  # 猫头鹰
7003  # 猫头鹰
9009  # 复活彩蛋
9140  # 符石<龙卷风>
10002  # 萤光菇
10022  # 大块的里脊
10042  # 烧全腿
10060  # 酒神的佳酿
10149  # 宠物经验石III
10237  # 宠物技能:冥思II
10239  # 宠物技能:利爪II
10240  # 宠物技能:利爪III
10241  # 宠物技能:撕咬II
10244  # 宠物技能:羽芒之刃III
10245  # 宠物技能:神行II
10247  # 宠物技能:藤蔓护体II
10248  # 宠物技能:藤蔓护体III
10252  # 宠物技能:花之魔力III
10261  # 宠物技能:坚守II
10268  # 宠物技能:伤害强化III
10269  # 宠物技能:魔伤强化II
10270  # 宠物技能:魔伤强化III
10271  # 宠物技能:风之护盾II
10272  # 宠物技能:风之护盾III
10273  # 宠物技能:自然护盾II
10274  # 宠物技能:自然护盾III
10275  # 宠物技能:心灵护盾II
10278  # 宠物技能:嗜血III
10279  # 宠物技能:生命吞噬II
10282  # 宠物技能:灵性符记III
10283  # 宠物技能:强壮符记II
10284  # 宠物技能:强壮符记III
10285  # 宠物技能:准确符记II
10286  # 宠物技能:准确符记III
10297  # 宠物技能:虎啸生风III
10311  # 宠物技能:厚皮术V
10312  # 宠物技能:厚皮术VI
10313  # 宠物技能:生命图腾IV
10320  # 宠物技能:利爪V
10322  # 宠物技能:撕咬IV
10329  # 宠物技能:神行V
10342  # 宠物技能:黑暗逆袭VI
10357  # 宠物技能:坚守VI
12000  # 硬皮
13020  # 配方:自然之灵
14000  # 水晶大礼包
