# Phase 2: client life-skill production chain (Lifing*): hides, ingots, essences,
# cloth, wood, recipes and blueprint outputs the server never imported.
# Source: analysis of D:\Godswar-Reborn-main vs D:\Godswar Origin (Localization/en_us/Settings/Sys/ItemBaseAttribute.xml).
# Format: <itemId>  # <display name>

13225  # 配方:雕刻符文
13226  # 配方:愤怒护铠
13227  # 配方:愤怒鞍具
13228  # 配方:愤怒头冠
13229  # 配方:愤怒元灵
13230  # 配方:勇气缨络
13231  # 配方:魂石(80级)
13232  # 配方:赤铜板材
13233  # 配方:赤铜管材
13234  # 配方:赤铜线材
13235  # 配方:勇气护铠
13236  # 配方:勇气鞍具
13237  # 配方:勇气头冠
13238  # 配方:勇气元灵
13239  # 配方:决心缨络
13240  # 配方:魂石(90级)
13241  # 配方:古朴符文
13242  # 配方:决心护铠
13243  # 配方:决心鞍具
13244  # 配方:决心头冠
13245  # 配方:决心元灵
13246  # 配方:无畏缨络
13247  # 配方:魂石(100级)
13248  # 配方:上等赤铜板材
13249  # 配方:上等赤铜管材
13250  # 配方:上等赤铜线材
13251  # 配方:无畏护铠
13252  # 配方:无畏鞍具
13253  # 配方:无畏头冠
13254  # 配方:无畏元灵
13255  # 配方:毁灭缨络
13256  # 配方:魂石(110级)
13257  # 配方:上古符文
13258  # 配方:毁灭护铠
13259  # 配方:毁灭鞍具
13260  # 配方:毁灭头冠
13261  # 配方:毁灭元灵
13262  # 配方:信仰缨络
13263  # 配方:魂石(120级)
13264  # 配方:极品赤铜板材
13265  # 配方:极品赤铜管材
13266  # 配方:极品赤铜线材
13267  # 配方:信仰护铠
13268  # 配方:信仰鞍具
13269  # 配方:信仰头冠
13270  # 配方:信仰元灵
13271  # 配方:远古符文
13272  # 锻造配方:铜锭
13273  # 锻造配方:赤铜锭
13274  # 锻造配方:赤铜精华
13275  # 锻造配方:赤铜精髓
13400  # 配方:硬皮线团
13401  # 配方:硬皮料
13402  # 配方:硬皮草
13403  # 配方:赤焰战袍(1天)
13404  # 配方:清纯学生装(1天)
13405  # 配方:波希米亚男装(1天)
13406  # 配方:波希米亚女装(1天)
13407  # 配方:简单烟花
13408  # 配方:恶魔男爵(1天)
13409  # 配方:女仆制服(1天)
13410  # 配方:唐装(1天)
13411  # 配方:旗袍(1天)
13412  # 配方:浪漫礼花
13413  # 配方:水之静寂圣魂
13414  # 配方:水之冰川圣魂
13415  # 配方:生皮线团
13416  # 配方:生皮料
13417  # 配方:生皮草
13418  # 配方:赤焰战袍(7天)
13419  # 配方:清纯学生装(7天)
13420  # 配方:青铜神器
13421  # 配方:水之亡夜圣魂
13422  # 配方:波希米亚男装(7天)
13423  # 配方:波希米亚女装(7天)
13424  # 配方:水之亵渎圣魂
13425  # 配方:水之冻原圣魂
13426  # 配方:水之凝霜圣魂
13427  # 配方:单薄皮索
13428  # 配方:恶魔男爵(7天)
13429  # 配方:女仆制服(7天)
13430  # 配方:水之冷锢圣魂
13431  # 配方:唐装(7天)
13432  # 配方:旗袍(7天)
13433  # 配方:水之寒韧圣魂
13434  # 配方:高级烟花
13435  # 配方:火之杀戮圣魂
13436  # 配方:火之挽歌圣魂
13437  # 配方:粗糙线团
13438  # 配方:粗糙皮料
13439  # 配方:粗糙皮草
13440  # 配方:精品赤焰战袍(7天)
13441  # 配方:精品清纯学生装(7天)
13442  # 配方:火之战怒圣魂
13443  # 配方:精品波希米亚男装(7天)
13444  # 配方:精品波希米亚女装(7天)
13445  # 配方:爱意礼花
13446  # 配方:火之雷誓圣魂
13447  # 配方:火之狂血圣魂
13448  # 配方:火之龙息圣魂
13449  # 配方:软皮索
13450  # 配方:精品恶魔男爵(7天)
13451  # 配方:精品女仆制服(7天)
13452  # 配方:火之湮灭圣魂
13453  # 配方:精品唐装(7天)
13454  # 配方:精品旗袍(7天)
13455  # 配方:火之凛冽圣魂
13456  # 配方:厚实线团
13457  # 配方:厚实皮料
13458  # 配方:厚实皮草
13459  # 配方:极品赤焰战袍(7天)
13460  # 配方:极品清纯学生装(7天)
13461  # 配方:白银神器
13462  # 配方:极品波希米亚男装(7天)
13463  # 配方:极品波希米亚女装(7天)
13464  # 配方:精巧皮索
13465  # 配方:极品恶魔男爵(7天)
13466  # 配方:极品女仆制服(7天)
13467  # 配方:极品唐装(7天)
13468  # 配方:极品旗袍(7天)
13469  # 配方:喜庆礼炮
13470  # 配方:强韧线团
13471  # 配方:强韧皮料
13472  # 配方:强韧皮草
13473  # 配方:浓情礼花
13474  # 配方:华丽皮索
13475  # 配方:黄金神器
13476  # 巧匠配方:生皮革
13477  # 巧匠配方:粗糙皮革
13478  # 巧匠配方:厚实皮革
13479  # 巧匠配方:强韧皮革
13600  # 配方:新手矿锄
13601  # 配方:新手药铲
13602  # 配方:新手弓箭
13603  # 配方:雅典城传送卷
13604  # 配方:斯巴达城传送卷
13605  # 配方:雅典近郊传送卷
13606  # 配方:斯巴达郊外传送卷
13607  # 配方:马拉松传送卷
13608  # 配方:伯罗奔尼萨传送卷
13609  # 配方:普通矿锄
13610  # 配方:百草之灵
13611  # 配方:铜锭
13612  # 配方:生皮革
13613  # 配方:空灵之火
13614  # 配方:绿玉
13615  # 配方:普通药铲
13616  # 配方:雅典神秘图纸[一]
13617  # 配方:斯巴达神秘图纸[一]
13618  # 配方:普通弓箭
13619  # 配方:帕尼萨传送卷
13620  # 配方:尼米亚传送卷
13621  # 配方:万木之灵
13622  # 配方:银锭
13623  # 配方:单薄皮革
13624  # 配方:虚无之火
13625  # 配方:月光石
13626  # 配方:雅典神秘图纸[二]
13627  # 配方:斯巴达神秘图纸[二]
13628  # 配方:迈加拉海岸传送卷
13629  # 配方:阿格利司传送卷
13630  # 配方:精致矿锄
13631  # 配方:百草之魄
13632  # 配方:赤铜锭
13633  # 配方:粗糙皮革
13634  # 配方:灵魂结晶
13635  # 配方:祖母绿玉
13636  # 配方:精致药铲
13637  # 配方:雅典神秘图纸[三]
13638  # 配方:斯巴达神秘图纸[三]
13639  # 配方:精致弓箭
13640  # 配方:布拉底亚传送卷
13641  # 配方:德尔韦尼传送卷
13642  # 配方:万木之魄
13643  # 配方:秘银锭
13644  # 配方:软皮革
13645  # 配方:虚空结晶
13646  # 配方:皓月石
13647  # 配方:附魔矿锄
13648  # 配方:雅典神秘图纸[四]
13649  # 配方:斯巴达神秘图纸[四]
13650  # 配方:附魔药铲
13651  # 配方:科林斯地峡传送卷
13652  # 配方:科林斯地峡传送卷
13653  # 配方:附魔弓箭
13654  # 配方:百草精华
13655  # 配方:赤铜精华
13656  # 配方:厚实皮革
13657  # 配方:灵魂精华
13658  # 配方:绿玉精华
13659  # 配方:雅典神秘图纸[五]
13660  # 配方:斯巴达神秘图纸[五]
13661  # 配方:帕尼萨港口传送卷
13662  # 配方:雅典神秘图纸[六]
13663  # 配方:尼米亚森林传送卷
13664  # 配方:斯巴达神秘图纸[六]
13665  # 配方:雅典神秘图纸[七]
13666  # 配方:斯巴达神秘图纸[七]
13667  # 配方:万木精华
13668  # 配方:秘银精华
13669  # 配方:精巧皮革
13670  # 配方:虚空精华
13671  # 配方:皓月精华
13672  # 配方:雅典神秘图纸[八]
13673  # 配方:斯巴达神秘图纸[八]
13674  # 配方:温泉关传送卷
13675  # 配方:雅典神秘图纸[九]
13676  # 配方:温泉关传送卷
13677  # 配方:斯巴达神秘图纸[九]
13678  # 配方:神圣矿锄
13679  # 配方:雅典神秘图纸[十]
13680  # 配方:斯巴达神秘图纸[十]
13681  # 配方:百草精髓
13682  # 配方:赤铜精髓
13683  # 配方:强韧皮革
13684  # 配方:灵魂精髓
13685  # 配方:绿玉精髓
13686  # 配方:神圣药铲
13687  # 配方:神圣弓箭
13688  # 配方:万木精髓
13689  # 配方:秘银精髓
13690  # 配方:华丽皮革
13691  # 配方:虚空精髓
13692  # 配方:皓月精髓
