# Phase 3: pet consumables, food, eggs and pet-skill artifacts the server never imported.
# Source: analysis of D:\Godswar-Reborn-main vs D:\Godswar Origin (Localization/en_us/Settings/Sys/ItemBaseAttribute.xml).
# Format: <itemId>  # <display name>

10356  # 宠物技能:坚守V
10358  # 宠物技能:冰封IV
10359  # 宠物技能:冰封V
10360  # 宠物技能:冰封VI
10361  # 宠物技能:舍身护主IV
10362  # 宠物技能:舍身护主V
10363  # 宠物技能:舍身护主VI
10364  # 宠物技能:元素之力II
10365  # 宠物技能:元素之力III
10366  # 宠物技能:元素之力IV
10367  # 宠物技能:元素之力V
10368  # 宠物技能:元素之力VI
10369  # 宠物技能:心灵之眼II
10370  # 宠物技能:心灵之眼III
10371  # 宠物技能:心灵之眼IV
10372  # 宠物技能:心灵之眼V
10373  # 宠物技能:心灵之眼VI
10374  # 宠物技能:伤害强化IV
10375  # 宠物技能:伤害强化V
10376  # 宠物技能:伤害强化VI
10377  # 宠物技能:魔伤强化IV
10378  # 宠物技能:魔伤强化V
10379  # 宠物技能:魔伤强化VI
10380  # 宠物技能:风之护盾IV
10381  # 宠物技能:风之护盾V
10382  # 宠物技能:风之护盾VI
10383  # 宠物技能:自然护盾IV
10384  # 宠物技能:自然护盾V
10385  # 宠物技能:自然护盾VI
10386  # 宠物技能:心灵护盾IV
10387  # 宠物技能:心灵护盾V
10388  # 宠物技能:心灵护盾VI
10389  # 宠物技能:嗜血IV
10390  # 宠物技能:嗜血V
10391  # 宠物技能:嗜血VI
10392  # 宠物技能:生命吞噬IV
10393  # 宠物技能:生命吞噬V
10394  # 宠物技能:生命吞噬VI
10395  # 宠物技能:海神守护IV
10396  # 宠物技能:海神守护V
10397  # 宠物技能:海神守护VI
10398  # 宠物技能:虎啸生风IV
10399  # 宠物技能:虎啸生风V
10400  # 宠物技能:虎啸生风VI
10401  # 宠物技能:冰冻喷射IV
10402  # 宠物技能:冰冻喷射V
10403  # 宠物技能:冰冻喷射VI
10404  # 宠物技能:鹰眼术IV
10405  # 宠物技能:鹰眼术V
10406  # 宠物技能:鹰眼术VI
10407  # 宠物技能:预知IV
10408  # 宠物技能:预知V
10409  # 宠物技能:预知VI
10411  # 宠物技能:寒冰护体II
10412  # 宠物技能:寒冰护体III
10413  # 宠物技能:寒冰护体IV
10414  # 宠物技能:寒冰护体V
10415  # 宠物技能:寒冰护体VI
10417  # 宠物技能:狮身之谜II
10418  # 宠物技能:狮身之谜III
10419  # 宠物技能:狮身之谜IV
10420  # 宠物技能:狮身之谜V
10421  # 宠物技能:狮身之谜VI
10423  # 宠物技能:灵动之心II
10424  # 宠物技能:灵动之心III
10425  # 宠物技能:灵动之心IV
10426  # 宠物技能:灵动之心V
10427  # 宠物技能:灵动之心VI
10429  # 宠物技能:恶魔法阵II
10430  # 宠物技能:恶魔法阵III
10431  # 宠物技能:恶魔法阵IV
10432  # 宠物技能:恶魔法阵V
10433  # 宠物技能:恶魔法阵VI
10435  # 宠物技能:地狱之门II
10436  # 宠物技能:地狱之门III
10437  # 宠物技能:地狱之门IV
10438  # 宠物技能:地狱之门V
10439  # 宠物技能:地狱之门VI
10441  # 宠物技能:狂暴回复II
10442  # 宠物技能:狂暴回复III
10443  # 宠物技能:狂暴回复IV
10444  # 宠物技能:狂暴回复V
10445  # 宠物技能:狂暴回复VI
10447  # 宠物技能:荆棘术II
10448  # 宠物技能:荆棘术III
10449  # 宠物技能:荆棘术IV
10450  # 宠物技能:荆棘术V
10451  # 宠物技能:荆棘术VI
10453  # 宠物技能:天堂之拳II
10454  # 宠物技能:天堂之拳III
10455  # 宠物技能:天堂之拳IV
10456  # 宠物技能:天堂之拳V
10457  # 宠物技能:天堂之拳VI
10459  # 宠物技能:气功掌II
10460  # 宠物技能:气功掌III
10461  # 宠物技能:气功掌IV
10462  # 宠物技能:气功掌V
10463  # 宠物技能:气功掌VI
10471  # 宠物技能:正义之怒II
10472  # 宠物技能:正义之怒III
10473  # 宠物技能:正义之怒IV
10474  # 宠物技能:正义之怒V
10475  # 宠物技能:正义之怒VI
10477  # 宠物技能:咆哮II
10478  # 宠物技能:咆哮III
10479  # 宠物技能:咆哮IV
10480  # 宠物技能:咆哮V
10481  # 宠物技能:咆哮VI
10487  # 宠物技能:灵异之力 II
10488  # 宠物技能:灵异之力 III
10489  # 宠物技能:灵异之力 IV
10490  # 宠物技能:灵异之力 V
10491  # 宠物技能:灵异之力 VI
10500  # <技巧>符文
10501  # <灵性>符文
10502  # <强壮>符文
10503  # <准确>符文
10504  # <身法>符文
10505  # <根骨>符文
10506  # <幸运>符文
10507  # <技巧>符文I
10508  # <技巧>符文II
10521  # 宠物技能:狐媚术  II
10522  # 宠物技能:狐媚术  III
10523  # 宠物技能:狐媚术  IV
10524  # 宠物技能:狐媚术  V
10525  # 宠物技能:狐媚术  VI
10541  # 宠物技能:庇护术   II
10542  # 宠物技能:庇护术  III
10543  # 宠物技能:庇护术  IV
10544  # 宠物技能:庇护术  V
10545  # 宠物技能:庇护术  VI
10551  # 宠物技能:灵敏术 II
10552  # 宠物技能:灵敏术 III
10553  # 宠物技能:灵敏术 IV
10554  # 宠物技能:灵敏术 V
10555  # 宠物技能:灵敏术 VI
10561  # 宠物技能:化影术 II
10562  # 宠物技能:化影术 III
10563  # 宠物技能:化影术 IV
10564  # 宠物技能:化影术 V
10565  # 宠物技能:化影术 VI
10571  # 宠物技能:魔化之力 II
10572  # 宠物技能:魔化之力 III
10573  # 宠物技能:魔化之力 IV
10574  # 宠物技能:魔化之力 V
10575  # 宠物技能:魔化之力 VI
10581  # 宠物技能:肉盾术 II
10582  # 宠物技能:肉盾术 III
10583  # 宠物技能:肉盾术 IV
10584  # 宠物技能:肉盾术 V
10585  # 宠物技能:肉盾术 VI
10601  # 宠物技能:雷暴II
10602  # 宠物技能:雷暴III
10603  # 宠物技能:雷暴IV
10604  # 宠物技能:雷暴V
10605  # 宠物技能:雷暴VI
10611  # 宠物技能:月击II
10612  # 宠物技能:月击III
10613  # 宠物技能:月击IV
10614  # 宠物技能:月击V
10615  # 宠物技能:月击VI
10711  # 宠物技能:魔导II
10712  # 宠物技能:魔导III
10713  # 宠物技能:魔导IV
10714  # 宠物技能:魔导V
10715  # 宠物技能:魔导VI
10721  # 宠物技能:牺牲II
10722  # 宠物技能:牺牲III
10723  # 宠物技能:牺牲IV
10724  # 宠物技能:牺牲V
10725  # 宠物技能:牺牲VI
10731  # 宠物技能:生命摄取II
10732  # 宠物技能:生命摄取III
10733  # 宠物技能:生命摄取IV
10734  # 宠物技能:生命摄取V
10735  # 宠物技能:生命摄取VI
10741  # 宠物技能:荆棘之甲II
10742  # 宠物技能:荆棘之甲III
10743  # 宠物技能:荆棘之甲IV
10744  # 宠物技能:荆棘之甲V
11001  # 妖精的收藏
11002  # 妖精之秘宝
11011  # 华丽的妖精包裹
11012  # 朴素的妖精包裹
11013  # 华丽的妖精包裹
11014  # 朴素的妖精包裹
